Algorithm,Feature,p-value
Cluster,AOI_0_MeanDwellTime,1.0
Cluster,AOI_1_MeanDwellTime,1.0
Cluster,AOI_2_MeanDwellTime,1.0
Cluster,AOI_3_MeanDwellTime,1.0
Cluster,AOI_4_MeanDwellTime,1.0
Cluster,AOI_5_MeanDwellTime,1.0
Cluster,AOI_6_MeanDwellTime,1.0
Cluster,AOI_7_MeanDwellTime,1.0
Cluster,AOI_8_MeanDwellTime,1.0
Cluster,AOI_9_MeanDwellTime,1.0
Cluster,None_MeanDwellTime,1.0
Heatmap,AOI_0_MeanDwellTime,1.0
Heatmap,AOI_1_MeanDwellTime,1.0
Heatmap,AOI_2_MeanDwellTime,1.0
Heatmap,AOI_3_MeanDwellTime,1.0
Heatmap,AOI_4_MeanDwellTime,1.0
Heatmap,None_MeanDwellTime,1.0
Saliency,AOI_0_MeanDwellTime,1.0
Saliency,AOI_1_MeanDwellTime,1.0
Saliency,AOI_2_MeanDwellTime,1.0
Saliency,AOI_3_MeanDwellTime,1.0
Saliency,AOI_4_MeanDwellTime,1.0
Saliency,None_MeanDwellTime,1.0
Semantic,AOI_0_MeanDwellTime,1.0
Semantic,AOI_1_MeanDwellTime,1.0
Semantic,None_MeanDwellTime,1.0
